"Mes","Categoria","Sede","Precio","Numero de Ventas"
"2","8","1","27","193"
"2","7","1","21","88"
"2","4","1","7","166"
"2","4","1","12","174"
"2","6","1","7","41"
"2","5","1","8","32"
"2","2","1","17","78"
"2","8","1","40","185"
"2","2","1","11","194"
"2","7","1","13","68"
"2","6","1","15","76"
"2","2","1","12","58"
"2","7","1","12","148"
"2","4","1","7","145"
"2","8","1","12","173"
"2","7","1","22","40"
"2","3","1","10","35"
"2","8","1","27","46"
"2","7","1","20","142"
"2","5","1","5","132"
"2","1","1","24","177"
"2","1","1","30","179"
"2","3","1","10","134"
"2","1","1","20","39"
"2","7","1","17","38"
"2","4","1","14","76"
"2","3","1","15","150"
"2","5","1","6","168"
"2","6","1","10","68"
"2","5","1","6","182"
"2","6","1","6","31"
"2","4","1","7","186"
"2","8","1","22","195"
"2","5","1","7","168"
"2","7","1","28","188"
"2","3","1","6","82"
"2","2","1","5","158"
"2","7","1","11","89"
"2","1","1","12","154"
"2","7","1","16","195"
"2","1","1","29","53"
"2","5","1","8","105"
"2","1","1","24","35"
"2","8","1","40","171"
"2","2","1","19","140"
"2","7","1","26","134"
"2","2","1","5","59"
"2","8","1","44","78"
"2","7","1","27","108"
"2","2","1","6","69"
"2","7","1","11","68"
"2","4","1","5","90"
"2","3","1","12","122"
"2","8","1","21","175"
"2","4","1","14","35"
"2","8","1","46","158"
"2","3","1","7","180"
"2","6","1","11","188"
"2","5","1","10","193"
"2","8","1","27","87"
"2","8","1","18","193"
"2","4","1","8","75"
"2","8","1","18","76"
"2","5","1","7","191"
"2","6","1","6","130"
"2","5","1","6","151"
"2","8","1","10","88"
"2","8","1","41","105"
"2","6","1","20","129"
"2","3","1","9","144"
"2","4","1","14","42"
"2","7","1","17","198"
"2","5","1","8","93"
"2","8","1","49","30"
"2","1","1","11","81"
"2","2","1","16","37"
"2","3","1","13","38"
"2","1","1","32","120"
"2","5","1","5","79"
"2","1","1","18","110"
"2","1","1","26","126"
"2","1","1","24","41"
"2","1","1","30","115"
"2","8","1","41","144"
"2","2","1","15","147"
"2","6","1","8","128"
"2","4","1","6","184"
"2","3","1","6","65"
"2","7","1","27","143"
"2","5","1","6","43"
"2","3","1","6","154"
"2","8","1","34","185"
"2","6","1","13","88"
"2","6","1","13","82"
"2","8","1","39","146"
"2","8","1","37","158"
"2","4","1","12","184"
"2","4","1","8","64"
"2","1","1","25","148"
"2","6","1","25","54"
"3","7","1","28","115"
"3","6","1","7","143"
"3","8","1","31","156"
"3","3","1","12","199"
"3","5","1","10","175"
"3","6","1","6","182"
"3","4","1","6","52"
"3","5","1","5","156"
"3","3","1","7","114"
"3","1","1","27","164"
"3","6","1","10","85"
"3","6","1","22","142"
"3","4","1","15","56"
"3","8","1","45","153"
"3","8","1","45","76"
"3","8","1","27","58"
"3","1","1","30","179"
"3","8","1","24","121"
"3","5","1","9","86"
"3","3","1","7","45"
"3","5","1","7","170"
"3","5","1","9","84"
"3","7","1","27","42"
"3","6","1","19","42"
"3","5","1","6","170"
"3","5","1","9","141"
"3","3","1","8","39"
"3","3","1","8","63"
"3","6","1","23","147"
"3","1","1","21","151"
"3","8","1","48","130"
"3","8","1","29","133"
"3","5","1","7","192"
"3","8","1","46","78"
"3","2","1","9","153"
"3","8","1","34","198"
"3","1","1","40","122"
"3","8","1","29","172"
"3","5","1","6","193"
"3","1","1","25","137"
"3","7","1","27","138"
"3","5","1","7","197"
"3","7","1","13","95"
"3","7","1","28","38"
"3","7","1","28","159"
"3","2","1","15","50"
"3","3","1","6","44"
"3","8","1","14","73"
"3","8","1","11","195"
"3","5","1","5","163"
"3","7","1","27","176"
"3","5","1","5","55"
"3","8","1","29","67"
"3","3","1","7","105"
"3","8","1","28","97"
"3","1","1","40","64"
"3","6","1","17","108"
"3","3","1","15","74"
"3","6","1","14","104"
"3","3","1","11","197"
"3","7","1","28","103"
"3","3","1","11","45"
"3","8","1","46","193"
"3","1","1","10","35"
"3","8","1","41","115"
"3","6","1","10","65"
"3","1","1","37","145"
"3","2","1","14","73"
"3","5","1","7","82"
"3","3","1","12","114"
"3","3","1","6","58"
"3","7","1","27","89"
"3","1","1","15","133"
"3","1","1","25","191"
"3","3","1","5","48"
"3","6","1","25","51"
"3","4","1","11","200"
"3","1","1","14","95"
"3","5","1","9","181"
"3","4","1","15","88"
"3","6","1","21","158"
"3","1","1","15","60"
"3","2","1","19","184"
"3","6","1","20","73"
"3","6","1","10","38"
"3","1","1","34","43"
"3","4","1","8","155"
"3","5","1","5","169"
"3","3","1","6","64"
"3","3","1","15","121"
"3","4","1","10","199"
"3","5","1","7","81"
"3","1","1","19","132"
"3","1","1","16","33"
"3","6","1","16","60"
"3","1","1","38","177"
"3","4","1","6","43"
"3","6","1","25","55"
"3","7","1","26","52"
"3","4","1","14","171"
"3","1","1","25","199"
"3","1","1","18","115"
"3","5","1","8","46"
"3","7","1","22","62"
"3","1","1","26","199"
"3","1","1","15","129"
"3","7","1","19","162"
"3","3","1","6","122"
"3","2","1","15","56"
"3","4","1","13","107"
"3","7","1","25","63"
"3","7","1","14","159"
"3","5","1","7","131"
"3","3","1","8","154"
"3","4","1","5","35"
"3","7","1","15","146"
"3","8","1","10","43"
"3","3","1","12","169"
"3","8","1","43","187"
"3","6","1","4","164"
"3","3","1","12","109"
"3","3","1","14","35"
"3","8","1","25","42"
"3","5","1","7","54"
"3","4","1","11","187"
"3","5","1","8","189"
"3","3","1","10","145"
"3","8","1","25","31"
"3","1","1","19","111"
"3","6","1","20","115"
"3","2","1","13","134"
"3","7","1","30","108"
"3","3","1","5","164"
"3","6","1","19","143"
"3","8","1","12","143"
"3","3","1","11","146"
"3","4","1","12","70"
"3","3","1","12","103"
"3","2","1","5","113"
"3","7","1","18","82"
"3","7","1","25","65"
"3","7","1","17","117"
"3","3","1","7","63"
"3","6","1","10","36"
"3","6","1","21","48"
"3","8","1","41","99"
"3","8","1","31","154"
"3","2","1","20","69"
"3","7","1","18","151"
"3","4","1","8","185"
"3","3","1","14","97"
"3","3","1","8","51"
"3","1","1","29","81"
"3","6","1","4","135"
"3","1","1","26","105"
"3","8","1","10","121"
"3","6","1","25","130"
"3","5","1","10","98"
"3","7","1","14","31"
"3","6","1","18","48"
"3","6","1","7","107"
"3","3","1","11","79"
"3","4","1","12","128"
"3","8","1","33","90"
"3","6","1","9","108"
"3","2","1","8","57"
"3","5","1","7","188"
"3","7","1","16","148"
"3","6","1","21","68"
"3","2","1","12","80"
"3","3","1","12","38"
"3","2","1","20","95"
"3","6","1","12","142"
"3","1","1","40","161"
"3","7","1","16","139"
"3","6","1","16","182"
"3","6","1","13","119"
"3","2","1","17","187"
"3","1","1","27","122"
"3","2","1","15","34"
"3","8","1","25","199"
"3","5","1","8","130"
"3","2","1","11","170"
"3","6","1","11","165"
"3","7","1","21","95"
"3","6","1","18","30"
"3","5","1","9","136"
"3","5","1","10","61"
"3","2","1","11","35"
"3","6","1","25","93"
"3","1","1","10","38"
"3","3","1","12","79"
"3","7","1","30","67"
"3","3","1","13","187"
"3","8","1","10","135"
"3","3","1","13","88"
"3","4","1","10","104"
"3","5","1","8","140"
"3","6","1","5","131"
"3","4","1","11","152"
"4","4","1","11","89"
"4","6","1","8","65"
"4","7","1","12","183"
"4","6","1","4","158"
"4","4","1","9","134"
"4","2","1","9","120"
"4","2","1","19","197"
"4","6","1","11","169"
"4","8","1","41","60"
"4","2","1","20","131"
"4","7","1","18","131"
"4","7","1","21","65"
"4","5","1","9","154"
"4","7","1","21","39"
"4","2","1","7","194"
"4","5","1","10","78"
"4","7","1","12","103"
"4","8","1","20","133"
"4","6","1","20","145"
"4","5","1","7","60"
"4","2","1","20","62"
"4","1","1","13","157"
"4","3","1","15","89"
"4","8","1","28","182"
"4","4","1","8","102"
"4","1","1","11","111"
"4","7","1","30","41"
"4","3","1","8","199"
"4","7","1","24","30"
"4","4","1","15","111"
"4","4","1","5","165"
"4","8","1","37","112"
"4","7","1","21","111"
"4","5","1","5","146"
"4","2","1","9","185"
"4","8","1","39","84"
"4","4","1","5","176"
"4","7","1","10","160"
"4","2","1","9","102"
"4","4","1","13","74"
"4","1","1","19","107"
"4","3","1","15","83"
"4","1","1","24","179"
"4","7","1","15","127"
"4","5","1","5","151"
"4","4","1","11","164"
"4","5","1","8","151"
"4","1","1","40","189"
"4","5","1","5","100"
"4","6","1","16","133"
"4","2","1","14","37"
"4","5","1","9","180"
"4","6","1","22","62"
"4","3","1","6","151"
"4","1","1","27","142"
"4","7","1","14","63"
"4","7","1","15","36"
"4","6","1","17","179"
"4","1","1","19","116"
"4","2","1","10","145"
"4","8","1","36","68"
"4","3","1","13","104"
"4","7","1","23","64"
"4","7","1","27","191"
"4","5","1","5","109"
"4","1","1","29","74"
"4","7","1","14","159"
"4","8","1","32","107"
"4","6","1","20","150"
"4","2","1","20","165"
"4","7","1","26","106"
"4","2","1","14","101"
"4","7","1","18","94"
"4","2","1","18","167"
"4","8","1","22","88"
"4","8","1","29","140"
"4","4","1","15","77"
"4","6","1","13","158"
"4","2","1","13","47"
"4","5","1","8","178"
"4","2","1","6","31"
"4","7","1","20","175"
"4","8","1","32","117"
"4","8","1","22","162"
"4","5","1","5","59"
"4","8","1","31","99"
"4","2","1","12","196"
"4","6","1","21","31"
"4","5","1","9","92"
"4","7","1","15","110"
"4","6","1","23","176"
"4","4","1","6","174"
"4","4","1","7","106"
"4","8","1","47","199"
"4","7","1","10","117"
"4","4","1","15","85"
"4","6","1","9","154"
"4","5","1","6","190"
"4","5","1","9","43"
"4","4","1","11","68"
"4","6","1","9","171"
"4","6","1","18","182"
"4","8","1","27","49"
"4","6","1","15","133"
"4","5","1","6","159"
"4","8","1","39","110"
"4","4","1","9","76"
"4","7","1","25","87"
"4","7","1","22","104"
"4","1","1","21","153"
"4","5","1","9","195"
"4","4","1","10","148"
"4","8","1","29","90"
"4","7","1","19","197"
"4","7","1","17","125"
"4","6","1","12","64"
"4","4","1","11","52"
"4","1","1","37","138"
"4","1","1","40","69"
"4","3","1","7","190"
"4","1","1","31","153"
"4","3","1","6","129"
"4","2","1","12","167"
"4","1","1","29","86"
"4","8","1","12","176"
"4","3","1","5","188"
"4","5","1","6","69"
"4","8","1","10","74"
"4","3","1","14","101"
"4","1","1","20","84"
"4","6","1","4","120"
"4","4","1","7","35"
"4","2","1","6","33"
"4","1","1","29","133"
"4","7","1","17","139"
"4","2","1","5","80"
"4","2","1","15","140"
"4","8","1","11","165"
"4","4","1","14","191"
"4","4","1","7","93"
"4","7","1","25","107"
"4","7","1","28","108"
"4","4","1","15","78"
"4","6","1","4","166"
"4","8","1","29","194"
"4","5","1","10","71"
"4","3","1","14","156"
"4","8","1","29","162"
"4","1","1","22","76"
"4","1","1","31","52"
"4","8","1","34","153"
"4","6","1","19","40"
"4","7","1","22","185"
"4","3","1","14","86"
"4","4","1","8","40"
"4","3","1","6","110"
"4","1","1","13","51"
"4","2","1","12","78"
"4","8","1","41","167"
"4","6","1","7","103"
"4","4","1","14","141"
"4","4","1","10","124"
"4","5","1","7","156"
"4","7","1","12","131"
"4","3","1","7","98"
"4","1","1","21","77"
"4","2","1","8","107"
"4","6","1","8","78"
"4","3","1","5","42"
"4","3","1","12","177"
"4","1","1","17","92"
"4","8","1","20","129"
"4","6","1","18","189"
"4","2","1","16","88"
"4","2","1","11","123"
"4","5","1","10","135"
"4","2","1","10","162"
"4","5","1","8","117"
"4","3","1","14","35"
"4","1","1","32","102"
"4","8","1","28","194"
"5","6","1","9","159"
"5","7","1","27","191"
"5","7","1","28","69"
"5","8","1","13","75"
"5","3","1","9","138"
"5","1","1","39","51"
"5","2","1","13","139"
"5","3","1","8","151"
"5","1","1","18","79"
"5","4","1","13","126"
"5","3","1","9","97"
"5","4","1","6","148"
"5","3","1","5","54"
"5","7","1","14","175"
"5","5","1","8","180"
"5","1","1","28","107"
"5","8","1","34","164"
"5","3","1","12","159"
"5","1","1","19","80"
"5","5","1","5","149"
"5","7","1","14","44"
"5","8","1","23","162"
"5","3","1","13","146"
"5","3","1","12","30"
"5","4","1","6","170"
"5","7","1","14","89"
"5","1","1","11","79"
"5","2","1","10","136"
"5","7","1","12","113"
"5","2","1","20","141"
"5","2","1","14","140"
"5","1","1","29","143"
"5","1","1","19","63"
"5","5","1","9","56"
"5","6","1","24","191"
"5","4","1","6","53"
"5","4","1","7","137"
"5","4","1","11","112"
"5","5","1","7","132"
"5","4","1","6","110"
"5","2","1","17","131"
"5","3","1","15","173"
"5","6","1","5","158"
"5","3","1","15","200"
"5","1","1","18","108"
"5","5","1","7","143"
"5","7","1","30","39"
"5","1","1","11","130"
"5","5","1","5","86"
"5","6","1","23","105"
"5","1","1","30","96"
"5","5","1","6","110"
"5","2","1","9","186"
"5","1","1","17","61"
"5","4","1","15","67"
"5","7","1","12","108"
"5","2","1","9","136"
"5","5","1","9","146"
"5","2","1","15","88"
"5","8","1","30","198"
"5","7","1","16","119"
"5","7","1","12","54"
"5","5","1","10","141"
"5","2","1","18","113"
"5","3","1","14","127"
"5","3","1","10","129"
"5","4","1","6","91"
"5","1","1","10","184"
"5","1","1","33","36"
"5","2","1","9","45"
"5","4","1","6","39"
"5","6","1","23","127"
"5","5","1","6","197"
"5","1","1","25","116"
"5","3","1","5","54"
"5","6","1","4","103"
"5","8","1","50","63"
"5","6","1","13","148"
"5","5","1","6","79"
"5","7","1","19","166"
"5","4","1","13","167"
"5","7","1","21","123"
"5","5","1","9","97"
"5","7","1","20","153"
"5","7","1","17","175"
"5","4","1","5","169"
"6","8","1","43","197"
"6","3","1","5","130"
"6","4","1","10","149"
"6","6","1","15","149"
"6","6","1","17","112"
"6","3","1","5","144"
"6","5","1","7","90"
"6","3","1","12","85"
"6","6","1","21","45"
"6","8","1","32","105"
"6","5","1","9","140"
"6","4","1","9","197"
"6","8","1","40","165"
"6","8","1","29","72"
"6","2","1","10","125"
"6","1","1","27","114"
"6","4","1","12","94"
"6","7","1","15","82"
"6","1","1","10","113"
"6","1","1","26","145"
"6","3","1","6","157"
"6","6","1","8","156"
"6","8","1","40","77"
"6","1","1","14","79"
"6","2","1","18","59"
"6","6","1","16","67"
"6","5","1","5","162"
"6","3","1","8","192"
"6","5","1","10","55"
"6","8","1","18","185"
"6","7","1","19","162"
"6","2","1","9","148"
"6","6","1","15","198"
"6","1","1","19","77"
"6","4","1","13","176"
"6","8","1","39","95"
"6","8","1","40","54"
"6","6","1","17","143"
"6","8","1","14","132"
"6","8","1","48","37"
"6","4","1","12","100"
"6","2","1","13","41"
"6","4","1","5","57"
"6","7","1","10","150"
"6","1","1","39","95"
"6","3","1","8","79"
"6","7","1","10","192"
"6","1","1","21","114"
"6","3","1","11","104"
"6","5","1","10","107"
"6","3","1","9","189"
"7","5","1","9","174"
"7","2","1","19","160"
"7","8","1","33","173"
"7","5","1","10","73"
"7","2","1","9","174"
"7","8","1","15","181"
"7","3","1","10","64"
"7","3","1","12","81"
"7","7","1","27","186"
"7","4","1","13","100"
"7","5","1","10","73"
"7","7","1","11","142"
"7","7","1","14","95"
"7","6","1","11","87"
"7","3","1","8","182"
"7","3","1","15","79"
"7","8","1","47","77"
"7","2","1","17","177"
"7","7","1","21","180"
"7","7","1","21","53"
"7","6","1","19","93"
"7","7","1","18","43"
"7","3","1","11","170"
"7","2","1","19","169"
"7","7","1","28","176"
"7","7","1","16","106"
"7","2","1","11","94"
"7","4","1","13","169"
"7","3","1","13","94"
"7","4","1","14","74"
"7","4","1","10","189"
"7","8","1","48","170"
"7","6","1","12","82"
"7","8","1","16","46"
"7","4","1","7","164"
"7","7","1","19","52"
"7","5","1","7","55"
"7","2","1","10","137"
"7","7","1","24","153"
"7","8","1","20","68"
"7","1","1","29","86"
"7","3","1","8","158"
"7","6","1","6","153"
"7","3","1","15","53"
"7","5","1","9","71"
"7","8","1","49","71"
"7","8","1","38","141"
"7","3","1","13","53"
"7","3","1","14","53"
"7","5","1","5","128"
"7","2","1","8","123"
"7","1","1","29","143"
"7","4","1","9","200"
"7","1","1","34","144"
"7","1","1","33","105"
"7","3","1","6","193"
"7","2","1","15","33"
"7","6","1","7","104"
"7","2","1","10","184"
"7","6","1","11","120"
"7","3","1","11","106"
"7","5","1","10","54"
"7","6","1","21","95"
"7","7","1","15","133"
"7","7","1","28","38"
"7","4","1","12","156"
"7","6","1","5","84"
"7","6","1","16","83"
"7","3","1","8","46"
"7","7","1","16","46"
"7","3","1","5","158"
"7","7","1","18","100"
"7","6","1","9","196"
"7","7","1","21","142"
"7","6","1","12","169"
"7","3","1","5","199"
"7","6","1","15","195"
"7","1","1","34","156"
"7","7","1","30","92"
"7","6","1","6","78"
"7","2","1","17","122"
"7","1","1","13","158"
"7","7","1","29","83"
"7","1","1","16","174"
"7","2","1","17","32"
"7","4","1","5","179"
"7","1","1","37","183"
"7","2","1","19","105"
"7","8","1","21","120"
"7","5","1","6","148"
"7","5","1","10","154"
"7","7","1","15","92"
"7","5","1","6","62"
"7","7","1","16","95"
"7","8","1","49","195"
"7","6","1","6","63"
"7","7","1","14","61"
"7","1","1","11","115"
"7","4","1","14","137"
"7","7","1","13","148"
"7","2","1","13","173"
"7","3","1","15","173"
"7","1","1","12","194"
"7","7","1","17","92"
"7","8","1","37","121"
"7","4","1","11","60"
"7","4","1","6","172"
"7","5","1","6","52"
"7","7","1","22","122"
"7","5","1","10","85"
"7","2","1","14","54"
"7","4","1","12","168"
"7","6","1","14","116"
"7","3","1","7","142"
"7","2","1","16","64"
"7","4","1","5","163"
"7","8","1","29","41"
"7","5","1","6","49"
"7","8","1","28","93"
"7","3","1","11","41"
"7","4","1","13","123"
"7","4","1","8","126"
"7","8","1","47","95"
"7","1","1","25","52"
"7","7","1","10","143"
"7","5","1","9","99"
"7","4","1","8","35"
"7","5","1","10","76"
"7","1","1","20","34"
"7","1","1","31","151"
"7","7","1","23","49"
"7","5","1","9","180"
"7","6","1","6","67"
"7","1","1","40","89"
"7","5","1","10","124"
"7","4","1","6","162"
"7","7","1","29","76"
"7","3","1","5","102"
"7","3","1","9","44"
"7","7","1","17","90"
"7","6","1","14","179"
"7","3","1","9","108"
"7","4","1","6","143"
"7","4","1","12","163"
"7","3","1","11","83"
"7","2","1","12","189"
"7","1","1","24","144"
"7","7","1","27","171"
"7","7","1","16","128"
"7","1","1","23","154"
"7","3","1","15","37"
"7","7","1","11","47"
"8","5","1","7","71"
"8","3","1","11","88"
"8","5","1","10","69"
"8","3","1","11","162"
"8","1","1","27","129"
"8","5","1","10","123"
"8","5","1","7","167"
"8","1","1","30","177"
"8","6","1","9","73"
"8","1","1","14","183"
"8","6","1","10","155"
"8","6","1","22","170"
"8","2","1","18","101"
"8","1","1","16","162"
"8","5","1","9","32"
"8","8","1","47","167"
"8","8","1","14","154"
"8","5","1","5","195"
"8","5","1","5","32"
"8","7","1","25","181"
"8","5","1","10","101"
"8","4","1","8","55"
"8","7","1","30","162"
"8","5","1","7","72"
"8","8","1","22","117"
"8","5","1","5","60"
"8","4","1","13","149"
"8","8","1","42","60"
"8","3","1","6","53"
"8","4","1","13","191"
"8","3","1","12","70"
"8","5","1","8","52"
"8","8","1","42","69"
"8","8","1","26","148"
"8","1","1","17","187"
"8","3","1","9","197"
"8","4","1","9","74"
"8","1","1","16","71"
"8","8","1","15","111"
"8","4","1","8","63"
"8","3","1","9","163"
"8","4","1","12","164"
"8","1","1","14","167"
"8","4","1","7","64"
"8","6","1","8","86"
"8","6","1","9","84"
"8","2","1","6","78"
"8","8","1","35","43"
"8","3","1","15","134"
"8","2","1","15","45"
"8","3","1","10","100"
"8","1","1","35","142"
"8","3","1","6","99"
"8","1","1","36","85"
"8","3","1","6","97"
"8","4","1","7","135"
"8","7","1","15","69"
"8","5","1","7","160"
"8","8","1","24","153"
"8","8","1","16","158"
"8","2","1","11","68"
"8","2","1","13","133"
"8","1","1","31","150"
"8","2","1","19","99"
"8","3","1","10","125"
"8","6","1","8","81"
"8","1","1","11","144"
"8","5","1","10","200"
"8","2","1","6","176"
"8","8","1","26","139"
"8","7","1","11","101"
"8","6","1","13","89"
"8","8","1","39","90"
"8","4","1","8","170"
"8","6","1","13","144"
"8","8","1","19","196"
"8","8","1","47","160"
"8","2","1","7","70"
"8","6","1","7","153"
"8","4","1","5","43"
"8","2","1","19","134"
"8","5","1","8","157"
"8","6","1","8","104"
"8","5","1","5","82"
"8","1","1","34","61"
"8","7","1","20","47"
"8","7","1","26","181"
"8","6","1","18","170"
"8","2","1","10","161"
"8","2","1","11","171"
"8","3","1","6","50"
"8","6","1","24","129"
"8","7","1","29","103"
"8","2","1","20","143"
"8","3","1","10","74"
"8","2","1","6","177"
"8","5","1","7","111"
"8","4","1","9","173"
"8","3","1","9","198"
"8","3","1","8","87"
"8","7","1","25","169"
"8","8","1","45","187"
"8","3","1","14","145"
"8","2","1","17","57"
"8","4","1","6","187"
"8","7","1","16","105"
"8","5","1","5","42"
"8","2","1","11","186"
"8","4","1","14","32"
"8","1","1","38","172"
"8","6","1","15","34"
"8","7","1","24","185"
"8","1","1","11","60"
"9","6","1","13","38"
"9","2","1","20","110"
"9","3","1","6","200"
"9","2","1","16","86"
"9","1","1","39","166"
"9","5","1","10","47"
"9","6","1","12","30"
"9","5","1","8","129"
"9","3","1","10","120"
"9","4","1","9","53"
"9","8","1","22","58"
"9","4","1","9","101"
"9","2","1","5","186"
"9","7","1","28","54"
"9","5","1","7","38"
"9","3","1","7","193"
"9","7","1","24","100"
"9","1","1","26","156"
"9","1","1","21","200"
"9","2","1","6","150"
"9","5","1","5","165"
"9","4","1","11","88"
"9","7","1","25","163"
"9","7","1","28","87"
"9","6","1","15","182"
"9","1","1","35","84"
"9","4","1","13","193"
"9","7","1","19","194"
"9","1","1","15","175"
"9","8","1","40","70"
"9","4","1","8","121"
"9","2","1","15","176"
"9","7","1","20","144"
"9","2","1","12","44"
"9","8","1","49","195"
"9","3","1","12","37"
"9","4","1","13","143"
"9","2","1","19","60"
"9","5","1","10","200"
"9","5","1","5","124"
"9","8","1","31","176"
"9","4","1","13","33"
"9","1","1","14","127"
"9","1","1","15","161"
"9","4","1","7","87"
"9","5","1","9","52"
"10","6","1","24","45"
"10","1","1","38","117"
"10","6","1","7","143"
"10","3","1","11","180"
"10","8","1","21","71"
"10","5","1","8","82"
"10","1","1","30","186"
"10","6","1","11","133"
"10","7","1","22","37"
"10","8","1","37","180"
"10","3","1","15","162"
"10","1","1","22","199"
"10","1","1","38","181"
"10","1","1","15","148"
"10","5","1","5","44"
"10","2","1","15","118"
"10","6","1","21","161"
"10","5","1","6","146"
"10","2","1","7","163"
"10","8","1","17","85"
"10","2","1","10","136"
"10","4","1","15","116"
"10","2","1","16","143"
"10","4","1","8","106"
"10","1","1","33","120"
"10","5","1","6","185"
"10","5","1","8","52"
"10","7","1","12","33"
"10","5","1","5","49"
"10","4","1","14","108"
"10","7","1","22","76"
"10","5","1","7","155"
"10","1","1","15","101"
"10","2","1","17","35"
"10","5","1","10","46"
"10","8","1","12","149"
"10","5","1","10","108"
"10","4","1","14","112"
"10","5","1","8","135"
"10","4","1","8","36"
"10","3","1","6","37"
"10","3","1","6","178"
"10","7","1","19","179"
"10","7","1","14","134"
"10","7","1","24","64"
"10","4","1","10","82"
"10","6","1","4","134"
"10","4","1","5","117"
"10","1","1","26","121"
"10","2","1","15","68"
"10","2","1","8","130"
"10","5","1","10","41"
"10","7","1","21","65"
"10","5","1","10","41"
"10","8","1","40","33"
"10","7","1","29","163"
"10","7","1","10","51"
"10","3","1","14","176"
"10","3","1","15","146"
"10","4","1","5","136"
"10","7","1","30","139"
"10","4","1","9","127"
"10","1","1","31","64"
"10","4","1","15","128"
"10","5","1","8","54"
"10","5","1","7","110"
"10","7","1","30","80"
"10","5","1","10","63"
"10","3","1","6","181"
"10","1","1","26","130"
"10","5","1","7","91"
"10","6","1","11","32"
"10","6","1","7","86"
